case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
42,0.44,0.9,-0.00229774145031115,0.019292378878162708,0.023228700969997667,-0.004362723389640451,0.020813476620242,0.02488281191200689,-0.00023275951098185034,0.017771281136083415,0.02144739538635937,-0.003435416525647522,-0.0030421954841585858,fraction,25,0.5123151020479231,0.2633672248312756,1.9452500301665638,0.5123151020479231,0.2633672248312756,1.9452500301665638,0.8286125751942053,0.32178977205888054,0.5623388085374428,0.5623388085374428,pooled,full_curve,50,0.0019979045848911065
43,0.78,0.98,-0.007283764788880944,0.012316697686910629,0.017652363467483136,-0.004274324174039066,0.010679211025126279,0.01646487887842376,-0.010293205403722822,0.01395418434869498,0.01876485106509246,0.002299972186668702,0.003274973323568702,fraction,25,0.2330800030999581,0.1985550332300312,1.1738811114897743,0.2330800030999581,0.1985550332300312,1.1738811114897743,0.598133022984479,0.43901229003884185,0.3245085857387896,0.3245085857387896,pooled,full_curve,50,0.00015350347881353728
44,0.88,0.96,-0.002566741415648721,0.008959693177021109,0.011946771356734142,-0.001786582147469744,0.010544803136726842,0.013132884560723502,-0.0033469006838276983,0.007374583217315375,0.010629112607121866,-0.0025037719536016353,-0.0031702199194114664,fraction,25,0.15416366461571895,0.3292065489988671,0.4682885716719125,0.15416366461571895,0.3292065489988671,0.4682885716719125,0.15736231199119458,0.34243928144379016,0.10009056427219191,0.10009056427219191,pooled,full_curve,50,2.0750030429916758e-05
45,0.44,0.88,0.0021279902383685113,0.020654328167438507,0.025235217605379882,-0.008676741644740105,0.02030057966709137,0.024476217886088312,0.012932722121477128,0.021008076667785643,0.025972045995155645,0.0014958281090673327,0.0007074970006942724,fraction,25,0.4967947354233266,0.08238622721623938,6.030070221802825,0.4967947354233266,0.08238622721623938,6.030070221802825,0.7333566372847715,0.08386691201008276,0.7852598955575815,0.7852598955575815,pooled,full_curve,50,0.007030579347655915
46,0.44,0.86,0.0023775728512555362,0.022617887081578372,0.027958467091837635,-0.008694593962281942,0.022593220267444848,0.026314427046868233,0.013449739664793015,0.0226425538957119,0.02951106052729698,0.003196633480428746,4.9333628267051594e-05,fraction,25,0.3776132988995673,0.08280693706160544,4.560165033258461,0.3776132988995673,0.08280693706160544,4.560165033258461,0.8776878200248025,0.08662539624802407,0.25899988093977555,0.25899988093977555,pooled,full_curve,50,0.006764193901468911
47,0.4,0.96,0.03115208985283971,0.03373578380793333,0.040805301734528586,0.01691857520490885,0.022085963115096093,0.027465672786924713,0.04538560450077057,0.04538560450077057,0.050752163674600385,0.023286490887675673,0.023299641385674474,fraction,25,0.1977330967274722,0.057987538584188064,3.4099239518572992,0.1977330967274722,0.057987538584188064,3.4099239518572992,0.407590816443254,0.06955601600984852,0.1693302325037111,0.1693302325037111,pooled,full_curve,50,0.002855534963061908
48,0.74,1.0,0.04215926199685782,0.045472845542244615,0.056029738120113144,0.011658049514517188,0.01828521660529077,0.022030662998784905,0.07266047447919846,0.07266047447919846,0.07611381606154621,0.054083153062761305,0.05437525787390769,fraction,25,0.19308778796171955,0.1158130293310861,1.6672371759633409,0.19308778796171955,0.1158130293310861,1.6672371759633409,0.31386946992361775,0.1603284248507834,0.28962080049423977,0.28962080049423977,pooled,full_curve,50,0.00011826159745297967
49,0.76,0.94,0.016340065625263377,0.019693413589848205,0.025143768156612022,0.011531708592083306,0.015799352952744813,0.02103245721934861,0.021148422658443453,0.0235874742269516,0.028671482304603372,0.007639025085254762,0.007788121274206788,fraction,25,0.27902345325274464,0.18977842052161797,1.4702591184278542,0.27902345325274464,0.18977842052161797,1.4702591184278542,0.48260016424335217,0.27115351763469103,0.33211746515305546,0.33211746515305546,pooled,full_curve,50,0.0003180821091159979
50,0.8,0.98,-0.005012287069112062,0.007791406433098018,0.01164883801812149,-0.0031945223500952124,0.0061712753307074306,0.008809508384620237,-0.006830051788128912,0.009411537535488606,0.013920611206630651,0.005111102822010414,0.0032402622047811754,fraction,25,0.3182531927823793,0.44411225875765337,0.7166052873042763,0.3182531927823793,0.44411225875765337,0.7166052873042763,0.2932621956429153,0.48033082051759707,0.5033539001288508,0.5033539001288508,pooled,full_curve,50,2.179376650812733e-06
51,0.44,0.96,0.05505497499834746,0.05722255119588226,0.071827798921961,0.0155446460749954,0.019879798470064998,0.025119911094656354,0.09456530392169953,0.09456530392169953,0.09842487217438428,0.07330496107972792,0.07468550545163452,fraction,25,0.12483726226889955,0.061808146691758464,2.0197541740164393,0.12483726226889955,0.061808146691758464,2.0197541740164393,0.18618740126411512,0.08349356449692624,0.2525874733623103,0.2525874733623103,pooled,full_curve,50,6.303349573432017e-06
